transaction_id,customer_id,date,product_id,quantity,amount,channel
T0019778,C002023,2023-02-14,P000076,2,85.31,Online
T0046337,C004843,2023-02-14,P000181,1,20.75,Online
T0047575,C004983,2023-02-14,P000050,1,53.02,Store
T0032448,C003357,2023-02-14,P000036,3,398.35,Store
T0002501,C000257,2023-02-14,P000191,3,450.84,Online
T0026342,C002740,2023-02-14,P000140,3,201.32,Online
T0006560,C000666,2023-02-15,P000059,1,31.06,Online
T0047275,C004954,2023-02-15,P000088,2,239.0,App
T0025627,C002662,2023-02-15,P000050,3,145.85,Online
T0030976,C003213,2023-02-15,P000055,2,68.04,Online
T0025261,C002621,2023-02-16,P000061,3,466.96,Online
T0032811,C003400,2023-02-17,P000167,1,251.83,App
T0019570,C002002,2023-02-17,P000115,3,135.55,App
T0019009,C001943,2023-02-17,P000193,2,131.09,Online
T0046641,C004879,2023-02-17,P000108,3,39.81,App
T0044188,C004604,2023-02-17,P000079,1,137.82,Store
T0010525,C001088,2023-02-17,P000021,2,531.92,Store
T0047614,C004985,2023-02-17,P000008,2,108.77,App
T0020108,C002058,2023-02-17,P000172,1,53.04,Store
T0002109,C000221,2023-02-18,P000105,3,114.63,Online
T0018865,C001931,2023-02-18,P000117,2,109.61,App
T0022517,C002330,2023-02-18,P000192,4,82.59,Online
T0043385,C004525,2023-02-18,P000123,2,136.5,Online
T0011006,C001139,2023-02-18,P000099,3,72.39,Store
T0035475,C003691,2023-02-18,P000153,1,129.83,Store
T0034006,C003532,2023-02-18,P000120,1,34.62,Online
T0002500,C000257,2023-02-19,P000132,2,60.06,App
T0006285,C000640,2023-02-19,P000057,1,62.73,App
T0011238,C001157,2023-02-19,P000197,1,62.53,Online
T0015390,C001587,2023-02-20,P000199,2,178.09,App
T0007029,C000711,2023-02-20,P000147,3,859.9,Online
T0033430,C003468,2023-02-20,P000111,2,166.7,Online
T0046640,C004879,2023-02-20,P000131,2,206.12,App
T0009894,C001008,2023-02-20,P000064,2,185.54,App
T0046639,C004879,2023-02-20,P000070,3,138.13,App
T0014203,C001466,2023-02-20,P000170,2,144.72,Store
T0025260,C002621,2023-02-20,P000057,2,134.8,App
T0000910,C000093,2023-02-21,P000138,2,16.34,App
T0001542,C000162,2023-02-21,P000141,4,1289.66,Online
T0023809,C002463,2023-02-21,P000175,3,133.0,Online
T0024372,C002523,2023-02-21,P000039,1,29.96,Online
T0004682,C000473,2023-02-21,P000024,2,577.62,Store
T0041642,C004340,2023-02-21,P000051,2,278.52,Online
T0038605,C004037,2023-02-21,P000048,4,66.51,Store
T0006024,C000612,2023-02-22,P000172,2,120.11,Online
T0023590,C002438,2023-02-22,P000159,1,160.61,Store
T0023808,C002463,2023-02-22,P000177,1,61.86,Online
T0004320,C000438,2023-02-22,P000005,2,149.75,App
T0004322,C000438,2023-02-22,P000145,1,271.0,App
T0018369,C001882,2023-02-23,P000089,3,606.6,Store
T0011007,C001139,2023-02-23,P000004,1,49.98,Online
T0021959,C002264,2023-02-23,P000156,1,104.44,Online
T0038868,C004061,2023-02-23,P000181,1,20.09,Online
T0040375,C004207,2023-02-23,P000081,3,50.22,Store
T0005447,C000552,2023-02-23,P000090,1,42.07,Online
T0004476,C000453,2023-02-23,P000012,1,64.05,Online
T0004681,C000473,2023-02-23,P000097,2,167.11,Online
T0018477,C001895,2023-02-23,P000184,2,656.07,App
T0001769,C000185,2023-02-23,P000049,3,586.01,Online
T0043731,C004559,2023-02-24,P000040,1,53.59,Store
T0043732,C004559,2023-02-24,P000039,1,30.51,Online
T0035660,C003710,2023-02-24,P000084,2,74.77,Store
T0009893,C001008,2023-02-24,P000151,3,239.52,Online
T0011745,C001211,2023-02-24,P000073,1,53.69,Online
T0004822,C000489,2023-02-25,P000174,2,147.36,Online
T0026916,C002802,2023-02-25,P000046,1,284.9,Store
T0042868,C004466,2023-02-25,P000023,5,64.59,Online
T0044850,C004678,2023-02-25,P000078,4,988.17,Online
T0044680,C004664,2023-02-26,P000026,2,102.8,Online
T0040426,C004211,2023-02-26,P000087,1,59.02,App
T0030977,C003213,2023-02-26,P000031,1,44.21,App
T0028504,C002953,2023-02-26,P000171,3,394.09,Store
T0006952,C000703,2023-02-26,P000173,2,329.74,Online
T0022518,C002330,2023-02-26,P000112,5,949.45,Online
T0030978,C003213,2023-02-26,P000042,1,76.69,Online
T0030671,C003186,2023-02-27,P000040,3,146.09,Online
T0046338,C004843,2023-02-27,P000106,1,77.59,App
T0017581,C001798,2023-02-27,P000189,2,102.97,App
T0017972,C001841,2023-02-28,P000065,1,76.21,Online
T0022447,C002325,2023-02-28,P000003,4,505.78,Online
T0019518,C001993,2023-02-28,P000121,1,36.54,Store
T0027489,C002859,2023-02-28,P000003,1,109.49,Online
T0006023,C000612,2023-02-28,P000042,1,87.78,Online
T0043641,C004553,2023-02-28,P000009,2,48.14,App
T0018567,C001902,2023-02-28,P000182,1,228.88,Online
T0047576,C004983,2023-02-28,P000077,3,607.08,App
T0025626,C002662,2023-02-28,P000030,1,15.77,Online
T0031061,C003220,2023-03-01,P000020,1,61.83,Store
T0003919,C000401,2023-03-01,P000113,2,25.88,Online
T0019126,C001953,2023-03-01,P000197,2,139.75,App
T0031769,C003292,2023-03-01,P000159,4,652.27,App
T0021749,C002237,2023-03-01,P000195,2,401.97,Online
T0045189,C004715,2023-03-01,P000072,1,240.76,Online
T0027845,C002902,2023-03-01,P000020,2,114.55,Online
T0044151,C004602,2023-03-01,P000180,4,127.21,Online
T0013087,C001349,2023-03-01,P000114,3,175.29,App
T0028748,C002976,2023-03-02,P000022,1,11.05,Store
T0042805,C004459,2023-03-02,P000138,1,8.24,Online
T0019010,C001943,2023-03-02,P000037,2,28.75,Online
T0028599,C002962,2023-03-02,P000007,1,20.69,Store
T0046788,C004892,2023-03-02,P000110,2,54.36,Online
T0037288,C003898,2023-03-03,P000120,1,38.48,Online
T0046986,C004921,2023-03-03,P000144,3,146.41,Online
T0026917,C002802,2023-03-03,P000157,1,19.96,Online
T0023263,C002408,2023-03-03,P000150,1,199.49,Online
T0046787,C004892,2023-03-03,P000002,1,43.29,Online
T0013071,C001347,2023-03-03,P000047,1,31.25,Store
T0007164,C000724,2023-03-03,P000168,4,133.14,Store
T0044734,C004669,2023-03-03,P000198,1,132.22,App
T0028103,C002919,2023-03-03,P000064,4,395.08,Online
T0047615,C004985,2023-03-03,P000113,2,29.41,Online
T0002198,C000232,2023-03-03,P000065,1,68.59,Store
T0004324,C000438,2023-03-04,P000012,1,59.51,App
T0046985,C004921,2023-03-04,P000181,3,65.49,Online
T0026344,C002740,2023-03-04,P000075,1,17.77,Online
T0025317,C002627,2023-03-04,P000123,2,155.5,App
T0024980,C002588,2023-03-04,P000028,1,37.95,Online
T0041119,C004280,2023-03-04,P000106,5,390.15,Online
T0022449,C002325,2023-03-04,P000022,2,21.92,Online
T0017319,C001771,2023-03-04,P000076,1,40.16,Store
T0043072,C004490,2023-03-04,P000030,3,46.78,Online
T0021478,C002209,2023-03-04,P000194,1,20.19,App
T0043467,C004534,2023-03-04,P000012,1,53.89,Online
T0006909,C000701,2023-03-04,P000087,2,111.32,Online
T0033838,C003512,2023-03-05,P000047,4,126.49,App
T0031998,C003314,2023-03-05,P000118,3,146.12,Online
T0038082,C003986,2023-03-05,P000174,1,65.96,Store
T0018370,C001882,2023-03-05,P000013,2,99.76,App
T0029034,C003010,2023-03-05,P000032,3,57.72,Store
T0014205,C001466,2023-03-05,P000010,1,40.65,Store
T0015391,C001587,2023-03-05,P000127,1,41.08,Store
T0021479,C002209,2023-03-06,P000017,3,202.87,Online
T0009367,C000947,2023-03-06,P000041,1,153.96,Online
T0033449,C003469,2023-03-06,P000157,1,20.08,Online
T0027676,C002886,2023-03-06,P000136,1,59.31,Online
T0039359,C004108,2023-03-06,P000200,1,48.44,App
T0013140,C001355,2023-03-06,P000069,1,43.16,Online
T0025171,C002609,2023-03-06,P000039,2,62.37,Online
T0006561,C000666,2023-03-07,P000164,2,31.49,App
T0040496,C004217,2023-03-07,P000136,2,137.15,Online
T0031481,C003260,2023-03-07,P000169,1,218.28,App
T0043420,C004529,2023-03-07,P000080,2,88.88,App
T0011008,C001139,2023-03-08,P000026,1,50.18,Online
T0031047,C003219,2023-03-08,P000022,1,10.88,Online
T0023262,C002408,2023-03-08,P000158,3,59.87,Store
T0015315,C001579,2023-03-08,P000117,4,238.46,Online
T0005449,C000552,2023-03-08,P000184,3,900.18,App
T0010379,C001069,2023-03-08,P000100,1,22.53,App
T0023591,C002438,2023-03-08,P000169,1,240.45,Online
T0031643,C003281,2023-03-08,P000065,2,158.84,Store
T0039110,C004081,2023-03-09,P000115,2,93.84,Online
T0002200,C000232,2023-03-09,P000173,2,357.33,Store
T0021359,C002197,2023-03-09,P000159,2,326.37,App
T0043733,C004559,2023-03-09,P000101,3,61.51,App
T0017759,C001817,2023-03-09,P000089,2,393.07,Online
T0030894,C003206,2023-03-09,P000127,2,70.74,Online
T0001686,C000175,2023-03-10,P000122,1,50.92,Online
T0031582,C003276,2023-03-10,P000140,1,77.93,Online
T0046211,C004825,2023-03-10,P000010,1,43.6,Online
T0031669,C003283,2023-03-10,P000090,1,45.46,Online
T0019257,C001968,2023-03-10,P000102,1,18.43,Online
T0022653,C002344,2023-03-10,P000154,2,79.52,Online
T0028570,C002958,2023-03-10,P000091,5,533.05,Online
T0041118,C004280,2023-03-10,P000075,1,19.16,Store
T0021768,C002238,2023-03-11,P000120,4,156.78,Online
T0004323,C000438,2023-03-11,P000044,2,648.5,Online
T0014204,C001466,2023-03-11,P000066,1,288.53,Store
T0000911,C000093,2023-03-12,P000120,2,70.83,Online
T0004547,C000460,2023-03-12,P000086,2,103.15,Online
T0007307,C000739,2023-03-12,P000013,2,84.41,Store
T0004546,C000460,2023-03-12,P000093,1,18.5,Online
T0004683,C000473,2023-03-12,P000168,4,142.43,Online
T0029613,C003068,2023-03-12,P000015,4,449.96,App
T0023391,C002423,2023-03-12,P000067,1,70.34,App
T0023264,C002408,2023-03-12,P000015,3,335.83,App
T0017636,C001804,2023-03-12,P000035,2,97.72,Online
T0011225,C001156,2023-03-12,P000152,2,345.48,Online
T0014175,C001464,2023-03-12,P000041,5,881.07,App
T0036241,C003768,2023-03-13,P000081,3,48.9,Online
T0022448,C002325,2023-03-13,P000182,3,677.59,App
T0023380,C002422,2023-03-13,P000185,3,301.16,Online
T0042391,C004417,2023-03-13,P000030,1,16.04,Online
T0042920,C004474,2023-03-13,P000134,2,66.53,Store
T0014844,C001530,2023-03-13,P000182,1,202.81,Online
T0030893,C003206,2023-03-14,P000072,1,225.79,Online
T0046128,C004813,2023-03-14,P000026,2,95.61,App
T0031997,C003314,2023-03-14,P000019,4,404.22,Online
T0026343,C002740,2023-03-14,P000030,1,14.95,Online
T0001733,C000180,2023-03-14,P000153,3,347.71,Store
T0031431,C003258,2023-03-15,P000019,1,92.2,App
T0010050,C001023,2023-03-15,P000062,1,67.69,Online
T0008700,C000885,2023-03-15,P000123,5,397.84,Store
T0041903,C004369,2023-03-15,P000086,4,204.06,Online
T0032449,C003357,2023-03-15,P000020,1,54.65,App
T0045229,C004720,2023-03-15,P000200,3,125.54,Store
T0019659,C002012,2023-03-15,P000194,2,37.89,App
T0009597,C000972,2023-03-16,P000030,1,14.57,Online
T0039220,C004097,2023-03-16,P000133,1,12.0,Store
T0004548,C000460,2023-03-16,P000147,3,840.12,App
T0003467,C000357,2023-03-16,P000069,3,153.57,Online
T0024373,C002523,2023-03-16,P000168,2,74.32,Online
T0012102,C001248,2023-03-16,P000177,1,73.19,App
T0029607,C003067,2023-03-16,P000007,3,54.59,Online
T0033431,C003468,2023-03-16,P000001,4,1411.04,Online
T0028851,C002986,2023-03-16,P000122,2,104.37,Store
T0011226,C001156,2023-03-16,P000124,1,60.17,Online
T0001687,C000175,2023-03-17,P000053,2,14.86,Online
T0014870,C001532,2023-03-17,P000057,3,218.7,Online
T0042785,C004457,2023-03-17,P000113,1,12.93,Store
T0025510,C002647,2023-03-17,P000091,2,202.27,App
T0010526,C001088,2023-03-17,P000153,1,114.37,Store
T0001543,C000162,2023-03-17,P000077,3,523.59,Online
T0011239,C001157,2023-03-17,P000024,1,296.13,Store
T0041007,C004270,2023-03-18,P000035,2,110.89,App
T0014465,C001494,2023-03-18,P000161,2,248.78,Store
T0006286,C000640,2023-03-18,P000047,2,52.82,Store
T0044647,C004661,2023-03-18,P000055,3,101.17,App
T0040600,C004230,2023-03-18,P000042,1,73.84,Online
T0003466,C000357,2023-03-18,P000066,2,628.87,App
T0002199,C000232,2023-03-18,P000025,4,1015.65,Online
T0044314,C004620,2023-03-18,P000149,3,128.24,Online
T0018867,C001931,2023-03-18,P000132,2,70.36,Online
T0023810,C002463,2023-03-18,P000141,1,343.38,Online
T0012103,C001248,2023-03-19,P000070,2,90.38,Online
T0015623,C001607,2023-03-19,P000187,2,333.32,Store
T0046642,C004879,2023-03-19,P000077,4,768.44,Online
T0013869,C001429,2023-03-19,P000061,2,333.78,App
T0047111,C004936,2023-03-19,P000097,2,168.03,Online
T0005488,C000555,2023-03-19,P000157,2,36.64,Store
T0041643,C004340,2023-03-19,P000080,1,37.02,App
T0019592,C002006,2023-03-19,P000191,2,339.43,Online
T0029035,C003010,2023-03-19,P000171,2,288.75,Store
T0023381,C002422,2023-03-20,P000045,3,499.67,Online
T0034596,C003597,2023-03-20,P000097,2,173.35,Online
T0005735,C000580,2023-03-20,P000148,1,169.05,Online
T0038113,C003987,2023-03-20,P000071,2,139.42,Online
T0030871,C003204,2023-03-20,P000131,1,91.48,App
T0028953,C003002,2023-03-20,P000187,3,481.01,Online
T0044851,C004678,2023-03-20,P000046,3,866.92,Online
T0013949,C001440,2023-03-21,P000182,3,715.67,Online
T0034007,C003532,2023-03-21,P000086,1,48.15,Online
T0008023,C000816,2023-03-21,P000024,2,596.06,Online
T0005736,C000580,2023-03-21,P000168,1,33.23,Online
T0045372,C004735,2023-03-21,P000103,1,138.41,App
T0006619,C000673,2023-03-21,P000158,1,18.58,Store
T0026426,C002745,2023-03-21,P000085,3,714.49,Store
T0027650,C002884,2023-03-21,P000183,2,615.45,Online
T0017760,C001817,2023-03-21,P000045,1,162.99,App
T0012324,C001270,2023-03-21,P000194,2,39.68,Store
T0008931,C000907,2023-03-22,P000175,1,43.92,Store
T0045135,C004710,2023-03-22,P000096,1,76.57,Online
T0045230,C004720,2023-03-22,P000175,2,81.46,Store
T0041019,C004271,2023-03-22,P000026,1,52.49,App
T0046789,C004892,2023-03-22,P000181,3,68.75,Store
T0018673,C001914,2023-03-22,P000021,2,497.59,Store
T0046339,C004843,2023-03-22,P000189,1,48.93,Online
T0000912,C000093,2023-03-22,P000124,1,52.85,App
T0017665,C001807,2023-03-23,P000184,1,316.4,Store
T0002458,C000252,2023-03-23,P000055,1,33.48,Store
T0021012,C002164,2023-03-23,P000139,2,157.32,Online
T0008024,C000816,2023-03-23,P000044,3,1020.63,Online
T0021513,C002211,2023-03-23,P000027,2,137.25,Online
T0018828,C001927,2023-03-23,P000176,3,317.36,Online
T0023518,C002434,2023-03-23,P000144,1,46.02,Store
T0031509,C003265,2023-03-23,P000029,1,17.6,Online
T0039199,C004093,2023-03-23,P000132,2,65.92,Online
T0044507,C004643,2023-03-24,P000100,1,23.02,Online
T0030093,C003126,2023-03-24,P000184,3,816.57,Online
T0029755,C003084,2023-03-24,P000139,2,161.94,App
T0044784,C004672,2023-03-24,P000134,1,37.66,Store
T0001770,C000185,2023-03-24,P000136,3,196.58,Online
T0012341,C001271,2023-03-24,P000064,3,332.89,Store
T0009598,C000972,2023-03-24,P000091,1,103.86,App
T0039221,C004097,2023-03-24,P000057,3,199.11,Online
T0042390,C004417,2023-03-25,P000016,1,297.88,Store
T0007165,C000724,2023-03-25,P000150,4,732.64,App
T0034532,C003589,2023-03-25,P000055,2,73.94,Store
T0032813,C003400,2023-03-25,P000200,3,123.33,Online
T0012325,C001270,2023-03-25,P000020,2,112.86,Online
T0038473,C004024,2023-03-26,P000046,2,630.84,Online
T0045540,C004758,2023-03-26,P000064,3,328.7,Online
T0039040,C004076,2023-03-26,P000089,1,180.9,App
T0039360,C004108,2023-03-26,P000048,2,31.64,Online
T0027700,C002888,2023-03-27,P000182,1,207.57,Online
T0044681,C004664,2023-03-27,P000047,2,62.45,Online
T0031767,C003292,2023-03-27,P000112,4,745.38,Online
T0009017,C000913,2023-03-27,P000041,3,534.6,App
T0029779,C003086,2023-03-27,P000116,1,13.75,Online
T0015494,C001596,2023-03-27,P000077,2,372.57,Online
T0007358,C000746,2023-03-27,P000072,1,223.0,App
T0001041,C000108,2023-03-27,P000074,2,137.52,App
T0021076,C002173,2023-03-27,P000085,1,237.08,Online
T0028264,C002932,2023-03-28,P000075,2,35.25,Online
T0025316,C002627,2023-03-28,P000133,2,24.65,Online
T0008287,C000846,2023-03-28,P000158,5,82.81,Online
T0031799,C003294,2023-03-28,P000018,2,82.8,App
T0026960,C002804,2023-03-28,P000017,1,60.69,Online
T0021075,C002173,2023-03-28,P000128,1,46.76,Store
T0042919,C004474,2023-03-28,P000084,2,85.23,Store
T0019162,C001959,2023-03-28,P000117,1,58.64,Store
T0009200,C000929,2023-03-28,P000128,1,47.19,Online
T0026072,C002710,2023-03-28,P000109,3,1122.6,Store
T0014464,C001494,2023-03-29,P000058,4,34.17,Online
T0041020,C004271,2023-03-29,P000151,2,165.06,Online
T0031508,C003265,2023-03-29,P000192,1,20.99,Online
T0033928,C003525,2023-03-29,P000185,2,235.04,Store
T0028451,C002947,2023-03-29,P000188,2,568.8,Online
T0039031,C004075,2023-03-29,P000080,5,206.01,Online
T0039527,C004125,2023-03-29,P000009,1,21.99,App
T0032812,C003400,2023-03-29,P000036,1,118.83,App
T0019304,C001973,2023-03-30,P000079,3,416.54,Online
T0026668,C002774,2023-03-30,P000158,2,36.64,Online
T0029129,C003020,2023-03-30,P000010,2,81.51,Store
T0002969,C000307,2023-03-30,P000061,4,704.51,Online
T0002201,C000232,2023-03-30,P000133,2,26.2,Online
T0010481,C001081,2023-03-31,P000107,2,43.83,App
T0022277,C002305,2023-03-31,P000033,2,539.17,Online
T0025979,C002702,2023-03-31,P000047,3,79.92,Online
T0031768,C003292,2023-03-31,P000172,2,122.36,Store
T0044506,C004643,2023-03-31,P000080,1,38.22,Online
T0035892,C003734,2023-03-31,P000139,2,163.55,Online
T0003918,C000401,2023-03-31,P000161,2,281.44,Online
T0023592,C002438,2023-04-01,P000074,1,66.47,App
T0016924,C001733,2023-04-01,P000172,2,119.23,App
T0018371,C001882,2023-04-01,P000198,3,467.25,Store
T0040276,C004200,2023-04-01,P000086,3,141.75,Store
T0004823,C000489,2023-04-01,P000113,2,29.24,Online
T0033249,C003443,2023-04-01,P000197,4,285.78,Online
T0007308,C000739,2023-04-02,P000178,1,18.45,Store
T0022450,C002325,2023-04-02,P000087,2,119.79,Online
T0040250,C004199,2023-04-02,P000180,1,32.4,Online
T0013950,C001440,2023-04-02,P000013,2,91.6,Online
T0031137,C003228,2023-04-02,P000073,2,98.43,Store
T0042018,C004380,2023-04-02,P000031,1,48.97,App
T0040006,C004172,2023-04-02,P000052,1,49.3,Online
T0026114,C002714,2023-04-02,P000095,1,210.75,Online
T0017294,C001769,2023-04-02,P000056,2,109.24,App
T0018372,C001882,2023-04-02,P000071,3,185.93,Online
T0021751,C002237,2023-04-02,P000160,2,222.92,Store
T0024521,C002538,2023-04-02,P000057,4,300.92,Store
T0026735,C002780,2023-04-03,P000065,1,79.85,Store
T0000284,C000034,2023-04-03,P000061,1,161.69,Online
T0013749,C001418,2023-04-03,P000143,1,25.74,Online
T0033367,C003459,2023-04-03,P000051,2,304.3,Online
T0031670,C003283,2023-04-03,P000066,2,572.02,Store
T0042019,C004380,2023-04-03,P000171,2,266.2,Online
T0012652,C001298,2023-04-03,P000140,2,133.0,Online
T0020577,C002119,2023-04-03,P000021,1,296.55,Online
T0033108,C003426,2023-04-03,P000191,2,311.98,Online
T0006910,C000701,2023-04-04,P000158,1,16.48,Online
T0001042,C000108,2023-04-04,P000047,2,55.13,Online
T0030816,C003201,2023-04-04,P000093,1,18.98,Store
T0024374,C002523,2023-04-04,P000031,1,45.7,Online
T0042017,C004380,2023-04-04,P000093,1,17.32,Online
T0033432,C003468,2023-04-04,P000031,2,90.04,App
T0043005,C004481,2023-04-04,P000090,1,45.46,Online
T0034274,C003563,2023-04-04,P000098,2,128.59,Store
T0046987,C004921,2023-04-04,P000091,2,223.81,Store
T0001688,C000175,2023-04-04,P000082,3,550.46,Store
T0036242,C003768,2023-04-05,P000063,1,305.27,Online
T0021515,C002211,2023-04-05,P000022,3,31.92,Store
T0019680,C002013,2023-04-05,P000143,2,60.43,App
T0045231,C004720,2023-04-05,P000013,2,85.5,Online
T0023519,C002434,2023-04-05,P000008,3,162.92,Store
T0001689,C000175,2023-04-05,P000120,4,164.24,App
T0046644,C004879,2023-04-05,P000031,3,139.1,Online
T0032092,C003323,2023-04-05,P000188,2,613.84,Store
T0009511,C000964,2023-04-05,P000064,2,188.83,Store
T0044450,C004636,2023-04-05,P000200,2,85.76,Online
T0004103,C000415,2023-04-05,P000157,2,40.43,Online
T0014910,C001534,2023-04-06,P000168,3,118.04,Store
T0022548,C002333,2023-04-06,P000001,4,1365.6,Store
T0030594,C003179,2023-04-06,P000094,1,31.55,Online
T0013870,C001429,2023-04-06,P000130,1,219.73,Store
T0007167,C000724,2023-04-06,P000190,2,312.46,Store
