customer_id,signup_date,gender,age,region,plan,tenure_days,is_active,last_activity_date,churned
C000048,2023-12-04,Male,28,East,Basic,605,1,2025-05-19,0
C000049,2024-02-21,Male,30,South,Basic,526,1,2025-07-29,0
C000050,2023-07-09,Male,48,North,Standard,753,1,2025-07-02,0
C000051,2023-04-20,Male,43,West,Premium,833,1,2025-07-28,0
C000052,2023-03-23,Female,18,East,Standard,861,1,2025-05-24,0
C000053,2023-08-16,Male,33,West,Basic,715,0,2024-08-23,1
C000054,2023-10-08,Female,41,South,Standard,662,1,2025-07-30,0
C000055,2023-06-08,Male,38,North,Basic,784,0,2025-01-27,1
C000056,2023-09-21,Male,43,North,Premium,679,1,2025-07-19,0
C000057,2023-05-16,Female,38,West,Basic,807,1,2025-06-19,0
C000058,2023-06-14,Male,35,North,Basic,778,0,2025-01-10,1
C000059,2023-04-27,Male,35,West,Standard,826,1,2025-05-29,0
C000060,2023-06-09,Male,47,South,Premium,783,1,2025-07-23,0
C000061,2024-09-28,Male,43,West,Basic,306,0,2025-01-28,1
C000062,2025-02-23,Female,41,West,Basic,158,1,2025-06-28,0
C000063,2023-06-09,Male,37,West,Standard,783,1,2025-06-23,0
C000064,2023-06-12,Female,31,North,Standard,780,1,2025-06-18,0
C000065,2024-09-05,Female,33,East,Basic,329,0,2025-04-17,1
C000066,2025-02-02,Male,47,North,Standard,179,1,2025-05-05,0
C000067,2024-04-03,Male,46,North,Standard,484,1,2025-06-17,0
C000068,2024-10-08,Female,30,South,Premium,296,1,2025-06-22,0
C000069,2024-03-04,Female,37,East,Basic,514,0,2025-02-13,1
C000070,2023-06-11,Male,41,North,Basic,781,1,2025-06-26,0
C000071,2023-05-04,Female,41,West,Standard,819,1,2025-05-27,0
C000072,2024-05-21,Male,41,North,Standard,436,0,2025-03-07,1
C000073,2023-05-13,Female,25,South,Standard,810,0,2025-03-07,1
C000074,2023-03-28,Male,25,North,Standard,856,0,2025-02-27,1
C000075,2023-06-10,Female,48,East,Basic,782,1,2025-05-16,0
C000076,2023-07-13,Female,52,North,Basic,749,1,2025-07-06,0
C000077,2024-09-04,Male,22,West,Basic,330,0,2025-03-28,1
C000078,2024-03-04,Male,36,East,Premium,514,1,2025-07-30,0
C000079,2025-02-16,Male,45,West,Standard,165,1,2025-07-29,0
C000080,2023-10-01,Unknown,18,South,Basic,669,1,2025-06-01,0
C000081,2023-03-06,Male,26,South,Basic,878,1,2025-06-20,0
C000082,2024-05-29,Male,36,East,Premium,428,1,2025-07-03,0
C000083,2023-12-12,Female,31,West,Premium,597,1,2025-06-14,0
C000084,2024-09-11,Female,39,South,Premium,323,1,2025-06-07,0
C000085,2023-04-13,Female,51,West,Basic,840,1,2025-06-29,0
C000086,2023-10-10,Female,28,North,Standard,660,1,2025-07-09,0
C000087,2023-06-24,Male,37,East,Basic,768,1,2025-07-17,0
C000088,2024-04-14,Female,33,South,Basic,473,1,2025-05-19,0
C000089,2024-08-16,Male,38,North,Basic,349,1,2025-07-18,0
C000090,2023-12-10,Male,37,South,Basic,599,0,2025-04-13,1
C000091,2024-08-11,Female,63,West,Standard,354,1,2025-07-15,0
C000092,2025-03-10,Female,51,West,Premium,143,1,2025-06-03,0
C000093,2023-01-08,Male,21,South,Basic,935,1,2025-07-26,0
C000094,2024-08-14,Female,27,West,Premium,351,1,2025-07-07,0
C000095,2024-07-25,Male,29,South,Basic,371,0,2024-12-10,1
C000096,2024-10-08,Male,24,East,Basic,296,1,2025-07-25,0
C000097,2024-02-14,Female,23,North,Basic,533,1,2025-05-25,0
C000098,2023-08-06,Male,35,East,Basic,725,1,2025-05-15,0
C000099,2023-03-13,Male,29,North,Basic,871,1,2025-07-13,0
C000100,2025-01-24,Female,28,North,Standard,188,1,2025-07-30,0
C000101,2025-03-28,Unknown,57,East,Standard,125,1,2025-05-21,0
C000102,2023-08-06,Male,30,West,Premium,725,1,2025-05-11,0
C000103,2023-09-03,Female,32,East,Basic,697,1,2025-06-18,0
C000104,2024-04-13,Female,44,West,Standard,474,1,2025-06-14,0
C000105,2024-09-18,Female,32,West,Standard,316,1,2025-07-16,0
C000106,2023-08-22,Female,25,North,Premium,709,1,2025-05-22,0
C000107,2023-05-29,Male,34,South,Basic,794,0,2024-11-11,1
C000108,2023-03-13,Male,57,East,Premium,871,1,2025-05-12,0
C000109,2023-06-07,Male,32,West,Standard,785,1,2025-05-14,0
C000110,2024-10-18,Female,27,West,Standard,286,0,2025-04-24,1
C000111,2023-02-07,Female,41,East,Basic,905,1,2025-07-20,0
C000112,2024-06-28,Female,33,East,Standard,398,1,2025-06-30,0
C000113,2023-10-16,Unknown,64,East,Standard,654,1,2025-07-25,0
C000114,2024-11-07,Male,29,North,Basic,266,1,2025-07-03,0
C000115,2025-01-21,Male,54,South,Basic,191,1,2025-06-21,0
C000116,2023-06-12,Male,48,East,Premium,780,1,2025-07-14,0
C000117,2023-04-26,Male,33,West,Basic,827,0,2025-04-29,1
C000118,2025-03-07,Male,36,West,Basic,146,0,2025-04-17,1
C000119,2024-09-11,Male,26,South,Standard,323,1,2025-07-03,0
C000120,2024-05-31,Female,31,West,Basic,426,0,2025-03-26,1
C000121,2024-07-18,Female,33,West,Standard,378,1,2025-07-15,0
C000122,2024-02-26,Female,38,East,Standard,521,1,2025-07-13,0
C000123,2024-01-28,Female,22,South,Basic,550,1,2025-06-29,0
C000124,2024-12-14,Male,40,East,Standard,229,1,2025-07-26,0
C000125,2025-02-07,Female,35,East,Basic,174,1,2025-06-20,0
C000126,2025-02-17,Female,40,East,Premium,164,1,2025-06-02,0
C000127,2023-12-28,Female,42,East,Premium,581,1,2025-06-29,0
C000128,2025-02-05,Male,34,West,Basic,176,1,2025-07-14,0
C000129,2023-07-05,Male,41,North,Premium,757,0,2025-04-26,1
C000130,2024-05-16,Male,36,South,Standard,441,1,2025-07-07,0
C000131,2024-02-05,Female,44,East,Standard,542,1,2025-07-30,0
C000132,2023-05-07,Female,40,South,Basic,816,0,2024-11-08,1
C000133,2024-11-27,Female,38,West,Basic,246,1,2025-07-12,0
C000134,2023-08-21,Male,35,North,Premium,710,1,2025-07-23,0
C000135,2023-03-14,Female,49,South,Basic,870,0,2025-03-25,1
C000136,2024-09-29,Female,41,West,Basic,305,0,2025-04-11,1
C000137,2024-06-30,Male,23,North,Basic,396,1,2025-07-25,0
C000138,2025-01-16,Male,32,West,Standard,196,1,2025-07-19,0
C000139,2024-08-13,Female,34,East,Premium,352,1,2025-06-12,0
C000140,2024-11-11,Male,36,North,Standard,262,1,2025-07-17,0
C000141,2025-03-31,Female,38,West,Basic,122,1,2025-05-02,0
C000142,2024-10-29,Unknown,27,North,Basic,275,0,2025-01-24,1
C000143,2023-07-02,Female,36,South,Basic,760,0,2025-04-18,1
C000144,2023-02-06,Female,33,North,Basic,906,0,2024-11-22,1
C000145,2023-12-03,Female,47,North,Standard,606,1,2025-06-29,0
C000146,2024-02-07,Female,27,West,Basic,540,1,2025-06-11,0
C000147,2024-03-12,Male,36,East,Premium,506,1,2025-06-27,0
C000148,2024-06-20,Male,30,North,Standard,406,1,2025-07-09,0
C000149,2024-02-10,Male,55,East,Premium,537,1,2025-07-04,0
C000150,2024-09-14,Female,49,West,Premium,320,1,2025-07-20,0
C000151,2024-02-09,Male,20,West,Premium,538,1,2025-06-30,0
C000152,2025-02-23,Male,29,South,Basic,158,1,2025-06-11,0
C000153,2025-02-20,Male,45,West,Premium,161,1,2025-07-15,0
C000154,2024-05-18,Female,41,South,Standard,439,1,2025-07-21,0
C000155,2024-05-13,Unknown,41,East,Standard,444,1,2025-07-09,0
C000156,2024-04-12,Unknown,38,West,Basic,475,1,2025-06-07,0
C000157,2023-10-13,Female,46,North,Basic,657,1,2025-06-27,0
C000158,2024-12-11,Female,44,North,Premium,232,1,2025-05-23,0
C000159,2024-01-06,Female,34,South,Basic,572,0,2025-02-14,1
C000160,2024-08-15,Female,25,North,Basic,350,1,2025-07-25,0
C000161,2024-04-05,Female,20,South,Basic,482,0,2025-04-09,1
C000162,2023-01-15,Male,35,East,Premium,928,1,2025-06-12,0
C000163,2023-05-19,Female,18,South,Standard,804,1,2025-07-09,0
C000164,2025-02-27,Male,39,South,Premium,154,1,2025-06-17,0
C000165,2023-07-14,Male,33,South,Basic,748,1,2025-06-07,0
C000166,2024-08-09,Female,56,North,Basic,356,1,2025-07-30,0
C000167,2023-12-29,Male,40,South,Standard,580,1,2025-06-30,0
C000168,2024-01-04,Male,36,East,Standard,574,1,2025-05-31,0
C000169,2024-05-12,Female,20,North,Basic,445,0,2025-03-01,1
C000170,2024-11-18,Male,24,West,Basic,255,1,2025-06-14,0
C000171,2025-01-15,Female,43,South,Basic,197,0,2025-04-30,1
C000172,2024-03-03,Female,33,West,Basic,515,1,2025-06-30,0
C000173,2024-09-01,Female,62,North,Standard,333,0,2025-04-18,1
C000174,2023-10-14,Female,36,East,Basic,656,1,2025-06-26,0
C000175,2023-03-08,Female,38,East,Basic,876,0,2024-11-14,1
C000176,2023-05-13,Female,23,West,Basic,810,1,2025-07-18,0
C000177,2023-06-03,Female,46,East,Basic,789,0,2025-04-03,1
C000178,2023-09-30,Female,27,West,Premium,670,0,2025-04-04,1
C000179,2024-09-30,Female,42,East,Basic,304,1,2025-07-11,0
C000180,2023-02-01,Female,45,West,Basic,911,1,2025-07-01,0
C000181,2024-09-20,Male,37,West,Basic,314,1,2025-06-27,0
C000182,2024-01-23,Male,54,East,Standard,555,0,2025-04-21,1
C000183,2024-04-14,Female,30,South,Standard,473,1,2025-05-22,0
C000184,2023-11-22,Male,53,North,Basic,617,1,2025-06-13,0
C000185,2023-02-14,Male,24,West,Standard,898,1,2025-07-22,0
C000186,2023-08-14,Female,44,South,Standard,717,1,2025-07-07,0
C000187,2024-10-29,Male,35,East,Basic,275,0,2024-11-15,1
C000188,2023-11-25,Male,29,North,Basic,614,1,2025-05-04,0
C000189,2025-01-28,Unknown,20,South,Standard,184,1,2025-07-29,0
C000190,2023-04-27,Female,34,East,Standard,826,1,2025-07-01,0
C000191,2023-12-24,Male,33,East,Premium,585,1,2025-06-22,0
C000192,2023-09-19,Unknown,38,South,Basic,681,0,2025-02-17,1
C000193,2024-04-09,Unknown,44,North,Standard,478,1,2025-06-25,0
C000194,2023-04-15,Male,28,South,Basic,838,1,2025-07-06,0
C000195,2024-07-03,Male,54,East,Premium,393,1,2025-06-03,0
C000196,2024-08-10,Female,31,North,Standard,355,1,2025-07-27,0
C000197,2024-03-11,Female,43,East,Standard,507,1,2025-07-29,0
C000198,2024-09-25,Female,37,East,Basic,309,1,2025-05-13,0
C000199,2023-06-02,Female,35,West,Basic,790,1,2025-06-06,0
C000200,2024-02-27,Female,37,North,Standard,520,1,2025-07-22,0
C000201,2024-06-13,Male,27,North,Basic,413,1,2025-07-24,0
C000202,2024-02-22,Female,33,South,Basic,525,0,2024-12-07,1
C000203,2024-10-31,Male,23,South,Basic,273,1,2025-07-14,0
C000204,2024-11-24,Female,31,North,Basic,249,0,2025-04-20,1
C000205,2024-03-25,Female,32,West,Standard,493,1,2025-06-19,0
C000206,2023-05-06,Male,45,South,Basic,817,1,2025-05-15,0
C000207,2023-09-24,Female,33,South,Basic,676,0,2025-02-03,1
C000208,2023-08-26,Male,32,South,Basic,705,0,2024-11-02,1
C000209,2024-08-31,Male,39,West,Premium,334,1,2025-07-09,0
C000210,2023-09-28,Female,38,North,Premium,672,1,2025-07-29,0
C000211,2024-08-10,Male,31,North,Standard,355,1,2025-06-02,0
C000212,2023-05-03,Female,40,North,Standard,820,1,2025-07-04,0
C000213,2023-10-10,Male,35,East,Basic,660,1,2025-07-19,0
C000214,2023-11-23,Female,31,West,Standard,616,1,2025-07-25,0
C000215,2024-11-10,Female,32,South,Standard,263,0,2025-04-17,1
C000216,2024-02-11,Female,46,North,Standard,536,0,2025-04-19,1
C000217,2024-10-04,Female,32,North,Basic,300,0,2025-03-29,1
C000218,2023-09-28,Female,39,East,Standard,672,1,2025-07-19,0
C000219,2023-08-10,Male,24,North,Premium,721,1,2025-05-27,0
C000220,2024-04-04,Male,48,West,Premium,483,1,2025-07-08,0
C000221,2023-01-18,Male,31,North,Standard,925,1,2025-07-13,0
C000222,2023-05-15,Male,41,North,Basic,808,1,2025-07-24,0
C000223,2024-05-08,Female,34,North,Basic,449,1,2025-06-06,0
C000224,2024-09-02,Male,40,West,Premium,332,1,2025-06-01,0
C000225,2025-03-11,Female,41,East,Basic,142,0,2025-04-03,1
C000226,2023-09-11,Female,35,West,Standard,689,1,2025-07-10,0
C000227,2023-04-25,Male,18,South,Basic,828,1,2025-07-13,0
C000228,2025-02-10,Female,47,North,Standard,171,1,2025-06-07,0
C000229,2023-12-03,Male,35,East,Standard,606,1,2025-07-09,0
C000230,2024-12-01,Female,40,East,Premium,242,1,2025-06-17,0
C000231,2023-09-29,Male,43,East,Basic,671,1,2025-06-17,0
C000232,2023-02-09,Female,32,South,Standard,903,1,2025-07-26,0
C000233,2023-11-25,Unknown,42,North,Premium,614,1,2025-06-07,0
C000234,2025-03-27,Male,29,North,Premium,126,1,2025-07-23,0
C000235,2023-10-14,Male,40,East,Standard,656,0,2025-03-14,1
C000236,2023-05-06,Female,37,South,Standard,817,1,2025-07-28,0
C000237,2024-07-13,Male,32,West,Premium,383,1,2025-07-14,0
C000238,2024-09-04,Female,37,South,Standard,330,1,2025-05-27,0
C000239,2024-12-19,Female,26,West,Standard,224,1,2025-05-31,0
C000240,2024-05-12,Male,40,South,Basic,445,1,2025-07-09,0
C000241,2024-03-12,Female,41,North,Basic,506,1,2025-06-15,0
C000242,2023-06-25,Female,40,West,Basic,767,0,2025-04-23,1
C000243,2023-10-27,Female,52,South,Standard,643,1,2025-07-12,0
C000244,2023-05-22,Female,36,East,Standard,801,1,2025-06-11,0
C000245,2024-05-08,Male,36,East,Basic,449,0,2025-04-08,1
C000246,2023-05-19,Male,25,South,Premium,804,1,2025-07-04,0
C000247,2024-02-14,Unknown,52,East,Standard,533,1,2025-07-15,0
C000248,2023-12-22,Female,22,West,Standard,587,1,2025-06-19,0
C000249,2024-04-15,Male,39,South,Premium,472,1,2025-07-19,0
C000250,2023-09-26,Female,30,East,Basic,674,1,2025-07-14,0
C000251,2023-11-07,Male,37,East,Standard,632,1,2025-06-20,0
C000252,2023-02-14,Male,23,North,Standard,898,0,2025-04-29,1
C000253,2024-06-29,Female,45,South,Standard,397,0,2025-04-01,1
C000254,2023-03-24,Male,27,North,Basic,860,1,2025-07-03,0
C000255,2024-12-07,Female,48,East,Basic,236,1,2025-07-24,0
C000256,2024-07-13,Male,27,West,Standard,383,1,2025-07-17,0
C000257,2023-01-12,Female,46,East,Basic,931,0,2025-04-25,1
C000258,2024-03-21,Male,28,North,Basic,497,0,2025-04-08,1
C000259,2023-03-19,Female,30,East,Premium,865,0,2025-01-05,1
C000260,2024-01-10,Female,36,West,Standard,568,1,2025-06-04,0
C000261,2024-04-16,Male,28,South,Premium,471,1,2025-07-05,0
C000262,2023-12-13,Female,28,West,Standard,596,1,2025-06-15,0
C000263,2023-11-12,Male,28,West,Standard,627,1,2025-06-07,0
C000264,2024-07-07,Male,40,North,Premium,389,1,2025-07-03,0
C000265,2024-07-02,Female,36,North,Premium,394,1,2025-07-30,0
C000266,2023-05-05,Male,37,East,Basic,818,1,2025-05-31,0
C000267,2025-02-01,Female,33,East,Premium,180,1,2025-07-27,0
C000268,2024-07-26,Female,42,West,Basic,370,1,2025-07-12,0
C000269,2025-01-20,Female,47,East,Basic,192,1,2025-07-31,0
C000270,2024-11-03,Male,42,South,Standard,270,1,2025-07-08,0
C000271,2023-06-16,Male,34,North,Premium,776,1,2025-07-11,0
C000272,2024-06-24,Male,24,East,Premium,402,1,2025-06-29,0
C000273,2025-02-22,Female,18,North,Basic,159,1,2025-07-18,0
C000274,2023-10-25,Female,36,East,Standard,645,1,2025-06-30,0
C000275,2024-03-26,Female,18,North,Premium,492,1,2025-07-10,0
C000276,2025-01-18,Male,35,North,Basic,194,1,2025-07-18,0
C000277,2025-01-08,Male,51,North,Standard,204,0,2025-04-13,1
C000278,2024-06-23,Male,25,South,Standard,403,1,2025-07-11,0
C000279,2023-07-23,Male,24,East,Basic,739,1,2025-07-30,0
C000280,2024-11-19,Male,43,North,Standard,254,1,2025-06-23,0
C000281,2025-02-20,Male,18,West,Basic,161,0,2025-03-29,1
C000282,2024-04-08,Male,40,East,Basic,479,0,2024-12-24,1
C000283,2024-09-11,Male,51,South,Basic,323,1,2025-07-03,0
C000284,2023-09-11,Male,28,South,Standard,689,1,2025-05-23,0
C000285,2024-03-22,Male,26,East,Standard,496,1,2025-07-30,0
C000286,2024-07-17,Male,42,North,Basic,379,1,2025-05-30,0
C000287,2024-11-06,Male,25,West,Standard,267,1,2025-06-30,0
C000288,2023-07-24,Female,45,East,Basic,738,0,2025-04-06,1
C000289,2024-04-02,Male,26,North,Premium,485,1,2025-07-20,0
C000290,2023-12-26,Male,54,East,Standard,583,1,2025-05-13,0
C000291,2023-12-17,Male,43,South,Basic,592,1,2025-06-04,0
C000292,2024-06-20,Male,37,North,Basic,406,1,2025-07-27,0
C000293,2023-05-04,Male,54,West,Basic,819,1,2025-06-21,0
C000294,2024-10-04,Male,47,North,Premium,300,1,2025-07-02,0
C000295,2023-09-18,Female,40,East,Standard,682,1,2025-06-21,0
C000296,2024-08-10,Male,18,West,Standard,355,1,2025-07-22,0
C000297,2024-11-26,Male,29,North,Basic,247,1,2025-06-09,0
C000298,2024-09-22,Female,47,North,Standard,312,1,2025-05-25,0
C000299,2024-08-15,Male,23,North,Premium,350,1,2025-06-23,0
C000300,2025-02-19,Male,29,North,Basic,162,1,2025-06-15,0
C000301,2024-03-27,Female,26,North,Standard,491,1,2025-07-11,0
C000302,2023-03-28,Female,41,West,Premium,856,1,2025-07-12,0
C000303,2023-09-30,Male,46,West,Standard,670,1,2025-06-29,0
C000304,2024-11-12,Female,46,East,Basic,261,1,2025-06-24,0
C000305,2023-11-13,Male,28,South,Basic,626,0,2025-01-12,1
C000306,2023-08-26,Male,40,West,Basic,705,1,2025-06-15,0
C000307,2023-01-18,Female,28,East,Premium,925,1,2025-07-08,0
C000308,2024-03-12,Male,34,South,Standard,506,1,2025-07-12,0
C000309,2023-06-25,Male,42,South,Premium,767,1,2025-06-16,0
C000310,2024-05-23,Female,47,North,Basic,434,0,2025-02-12,1
C000311,2025-01-27,Female,18,West,Basic,185,1,2025-07-23,0
C000312,2024-02-14,Male,37,East,Basic,533,1,2025-06-25,0
C000313,2024-02-28,Female,51,East,Basic,519,0,2024-09-15,1
C000314,2023-06-15,Male,39,East,Basic,777,0,2025-04-20,1
C000315,2023-10-10,Female,37,East,Basic,660,1,2025-07-19,0
C000316,2023-09-09,Male,31,North,Premium,691,1,2025-05-25,0
C000317,2023-10-12,Male,50,South,Basic,658,1,2025-05-19,0
C000318,2023-06-29,Male,31,West,Standard,763,1,2025-07-18,0
C000319,2025-03-25,Male,35,North,Premium,128,1,2025-05-11,0
C000320,2023-05-03,Male,32,West,Premium,820,1,2025-05-08,0
C000321,2025-03-14,Female,38,South,Basic,139,1,2025-06-13,0
C000322,2025-02-14,Female,51,South,Premium,167,1,2025-06-27,0
C000323,2023-08-13,Male,27,East,Basic,718,1,2025-07-28,0
C000324,2024-01-30,Male,38,West,Basic,548,1,2025-07-26,0
C000325,2024-11-14,Male,40,South,Premium,259,1,2025-07-12,0
C000326,2024-10-14,Female,28,East,Standard,290,1,2025-06-04,0
C000327,2024-02-24,Female,36,South,Premium,523,1,2025-07-28,0
C000328,2023-07-27,Unknown,55,East,Premium,735,1,2025-06-05,0
C000329,2025-03-29,Female,19,North,Basic,124,1,2025-05-26,0
C000330,2023-01-08,Male,32,North,Standard,935,1,2025-07-17,0
C000331,2023-04-20,Male,39,North,Basic,833,0,2024-10-30,1
C000332,2023-05-12,Female,33,South,Standard,811,1,2025-07-29,0
C000333,2023-09-10,Female,65,North,Basic,690,1,2025-06-07,0
C000334,2024-04-29,Male,42,East,Basic,458,1,2025-06-14,0
C000335,2024-02-13,Male,26,South,Premium,534,1,2025-07-13,0
C000336,2023-08-21,Female,18,North,Premium,710,1,2025-07-23,0
C000337,2023-03-09,Male,40,North,Standard,875,1,2025-06-09,0
C000338,2023-03-13,Male,29,North,Standard,871,1,2025-07-30,0
C000339,2025-02-20,Female,49,South,Standard,161,1,2025-05-21,0
C000340,2024-11-08,Male,34,North,Standard,265,1,2025-05-27,0
C000341,2024-01-06,Male,31,South,Premium,572,1,2025-07-18,0
C000342,2024-01-29,Female,31,South,Basic,549,0,2024-04-20,1
C000343,2024-08-11,Female,46,East,Basic,354,1,2025-06-09,0
C000344,2025-03-10,Unknown,41,East,Premium,143,1,2025-07-27,0
C000345,2023-01-14,Male,54,North,Premium,929,1,2025-05-28,0
C000346,2024-08-28,Male,34,North,Standard,337,1,2025-07-19,0
C000347,2024-03-14,Female,45,North,Basic,504,0,2025-01-14,1
C000348,2023-07-21,Female,45,North,Premium,741,1,2025-07-22,0
C000349,2023-10-19,Male,43,North,Standard,651,1,2025-07-29,0
C000350,2024-09-14,Female,31,East,Standard,320,1,2025-05-14,0
C000351,2023-06-10,Male,41,North,Standard,782,1,2025-05-02,0
C000352,2025-01-23,Male,36,West,Basic,189,1,2025-07-25,0
C000353,2023-06-30,Male,35,North,Basic,762,0,2025-02-15,1
C000354,2025-03-15,Male,28,West,Standard,138,0,2025-04-14,1
C000355,2023-04-20,Male,18,East,Basic,833,1,2025-06-24,0
C000356,2023-12-06,Female,49,South,Basic,603,1,2025-07-01,0
C000357,2023-02-24,Female,41,South,Basic,888,0,2025-04-18,1
C000358,2023-07-26,Female,23,East,Basic,736,1,2025-05-29,0
C000359,2024-05-10,Male,44,West,Basic,447,1,2025-06-27,0
C000360,2024-08-23,Male,49,South,Basic,342,0,2025-02-17,1
C000361,2024-07-25,Male,44,North,Premium,371,0,2025-04-14,1
C000362,2023-05-16,Male,28,South,Basic,807,0,2024-07-22,1
C000363,2023-03-27,Female,29,North,Basic,857,1,2025-05-16,0
C000364,2023-04-28,Female,31,West,Basic,825,1,2025-06-30,0
C000365,2023-11-26,Female,45,East,Premium,613,1,2025-07-16,0
C000366,2023-10-19,Male,41,North,Basic,651,0,2025-04-21,1
C000367,2023-07-22,Male,64,South,Basic,740,1,2025-07-28,0
C000368,2024-10-23,Female,20,North,Basic,281,0,2025-03-10,1
C000369,2023-09-13,Male,36,West,Standard,687,0,2025-02-24,1
C000370,2023-07-12,Female,18,West,Standard,750,1,2025-07-26,0
C000371,2024-01-06,Unknown,42,North,Basic,572,0,2025-04-24,1
C000372,2024-05-05,Male,47,South,Basic,452,1,2025-07-08,0
C000373,2023-05-02,Female,51,West,Basic,821,0,2025-02-25,1
C000374,2023-08-13,Female,38,North,Standard,718,1,2025-07-11,0
C000375,2023-02-25,Male,18,South,Standard,887,1,2025-05-30,0
C000376,2023-09-29,Female,36,South,Basic,671,1,2025-07-18,0
C000377,2023-11-26,Male,41,North,Standard,613,1,2025-06-12,0
C000378,2024-01-07,Male,26,North,Basic,571,1,2025-06-30,0
C000379,2024-03-07,Female,34,West,Standard,511,1,2025-07-24,0
C000380,2023-11-14,Female,24,East,Standard,625,1,2025-07-23,0
C000381,2023-10-08,Male,30,South,Premium,662,1,2025-07-30,0
C000382,2023-10-15,Male,46,South,Basic,655,1,2025-06-07,0
C000383,2024-11-23,Female,43,East,Standard,250,1,2025-06-22,0
C000384,2024-09-10,Female,23,South,Basic,324,1,2025-06-25,0
C000385,2023-12-05,Female,29,North,Basic,604,1,2025-07-25,0
C000386,2024-05-02,Male,37,North,Basic,455,1,2025-07-07,0
C000387,2023-03-26,Female,39,East,Basic,858,0,2024-08-30,1
C000388,2024-03-23,Male,30,North,Basic,495,1,2025-06-14,0
C000389,2024-03-26,Female,41,North,Premium,492,1,2025-07-26,0
C000390,2024-03-10,Male,36,South,Standard,508,1,2025-06-05,0
C000391,2023-11-04,Female,18,North,Basic,635,1,2025-06-28,0
C000392,2023-06-21,Male,31,West,Basic,771,1,2025-07-04,0
C000393,2024-10-19,Male,30,East,Basic,285,0,2025-04-04,1
C000394,2023-04-15,Male,43,North,Basic,838,1,2025-05-26,0
C000395,2024-07-02,Male,43,North,Basic,394,1,2025-07-26,0
C000396,2024-05-12,Female,20,East,Standard,445,1,2025-07-03,0
